RegionName,State_x,2008-01,2016-12,HouseValueChange,County,State_y,Abbreviation,Total,White,Black,Asian,Others,White %,Black %,Asian %,Others %,HouseValueChange %
Williams,OH,89900.0,88200,-1700.0,Williams,Ohio,OH,-986,-1366,9,64,307,1.3853955375253548,-0.009127789046653144,-0.06490872210953348,-0.31135902636916835,-0.018909899888765295
Warren,VA,230700.0,192000,-38700.0,Warren,Virginia,VA,2578,2136,-526,280,688,0.8285492629945694,-0.20403413498836304,0.10861132660977503,0.26687354538401864,-0.16775032509752927
Madison,ID,180800.0,200800,20000.0,Madison,Idaho,ID,1139,283,181,15,660,0.2484635645302897,0.15891132572431954,0.013169446883230905,0.5794556628621598,0.11061946902654868
Newberry,SC,89400.0,85600,-3800.0,Newberry,South Carolina,SC,177,578,196,-27,-570,3.2655367231638417,1.1073446327683616,-0.15254237288135594,-3.2203389830508478,-0.042505592841163314
Pontotoc,OK,71200.0,79800,8600.0,Pontotoc,Oklahoma,OK,1789,-214,-29,244,1788,-0.11961989938513135,-0.01621017328116266,0.1363890441587479,0.999441028507546,0.12078651685393259
Latah,ID,194500.0,226200,31700.0,Latah,Idaho,ID,2683,2552,-127,114,144,0.9511740588893032,-0.047335072679836006,0.04248975027953783,0.05367126351099515,0.16298200514138816
Graham,AZ,165100.0,140200,-24900.0,Graham,Arizona,AZ,2595,5700,-43,84,-3146,2.1965317919075145,-0.016570327552986513,0.03236994219653179,-1.2123314065510598,-0.15081768625075712
Alexander,NC,134400.0,130000,-4400.0,Alexander,North Carolina,NC,956,-708,967,261,436,-0.7405857740585774,1.0115062761506275,0.2730125523012552,0.4560669456066946,-0.03273809523809524
Calloway,KY,102500.0,123100,20600.0,Calloway,Kentucky,KY,2200,1879,-53,-30,404,0.8540909090909091,-0.02409090909090909,-0.013636363636363636,0.18363636363636365,0.20097560975609757
Bennington,VT,175900.0,160400,-15500.0,Bennington,Vermont,VT,67,-372,89,45,305,-5.5522388059701475,1.3283582089552242,0.6716417910447762,4.552238805970148,-0.08811824900511654
Huntington,IN,91300.0,84100,-7200.0,Huntington,Indiana,IN,-1023,-1420,246,109,42,1.388074291300098,-0.2404692082111437,-0.10654936461388076,-0.04105571847507331,-0.07886089813800658
Delta,MI,85600.0,86800,1200.0,Delta,Michigan,MI,-827,-1164,-9,-22,368,1.407496977025393,0.010882708585247884,0.026602176541717048,-0.4449818621523579,0.014018691588785047
Clatsop,OR,267500.0,262700,-4800.0,Clatsop,Oregon,OR,447,777,178,9,-517,1.738255033557047,0.3982102908277405,0.020134228187919462,-1.1565995525727069,-0.01794392523364486
Scotts Bluff,NE,90500.0,108500,18000.0,Scotts Bluff,Nebraska,NE,263,1738,203,38,-1716,6.608365019011407,0.7718631178707225,0.1444866920152091,-6.524714828897339,0.19889502762430938
Miami,IN,80800.0,68800,-12000.0,Miami,Indiana,IN,-505,-369,703,101,-940,0.7306930693069307,-1.3920792079207922,-0.2,1.8613861386138613,-0.1485148514851485
Gloucester,VA,235100.0,212200,-22900.0,Gloucester,Virginia,VA,-1146,-513,-696,-176,239,0.4476439790575916,0.6073298429319371,0.15357766143106458,-0.20855148342059335,-0.09740535942152276
Green,WI,137000.0,149100,12100.0,Green,Wisconsin,WI,1334,1021,-25,162,176,0.7653673163418291,-0.018740629685157426,0.12143928035982007,0.13193403298350825,0.08832116788321168
Jasper,IA,104000.0,112700,8700.0,Jasper,Iowa,IA,33,-346,229,86,64,-10.484848484848484,6.9393939393939394,2.606060606060606,1.9393939393939397,0.08365384615384615
Addison,VT,204600.0,219200,14600.0,Addison,Vermont,VT,317,-400,180,382,155,-1.2618296529968454,0.5678233438485805,1.2050473186119874,0.4889589905362776,0.07135874877810362
Finney,KS,103400.0,134400,31000.0,Finney,Kansas,KS,-3836,-7336,384,504,2612,1.912408759124088,-0.10010427528675704,-0.13138686131386862,-0.6809176225234619,0.29980657640232106
Matagorda,TX,96800.0,122800,26000.0,Matagorda,Texas,TX,-320,442,-294,-14,-454,-1.38125,0.91875,0.04375,1.41875,0.26859504132231404
Dodge,NE,96900.0,114500,17600.0,Dodge,Nebraska,NE,799,1322,93,3,-619,1.6545682102628283,0.11639549436795996,0.0037546933667083854,-0.7747183979974969,0.18163054695562436
McLeod,MN,,149400,,McLeod,Minnesota,MN,-1106,-1386,-194,19,455,1.2531645569620251,0.17540687160940324,-0.01717902350813743,-0.4113924050632912,
Independence,AR,82400.0,89000,6600.0,Independence,Arkansas,AR,2503,1830,-329,116,886,0.73112265281662,-0.13144226927686775,0.0463443867359169,0.3539752297243308,0.08009708737864078
Steele,MN,152100.0,151100,-1000.0,Steele,Minnesota,MN,302,-1001,196,177,930,-3.314569536423841,0.6490066225165563,0.5860927152317881,3.0794701986754967,-0.006574621959237344
Summit,UT,561400.0,614600,53200.0,Summit,Utah,UT,3561,3189,-43,175,240,0.8955349620893007,-0.012075259758494805,0.04914349901713002,0.06739679865206402,0.09476309226932668
Ware,GA,77400.0,71500,-5900.0,Ware,Georgia,GA,-47,-1270,706,350,167,27.02127659574468,-15.021276595744679,-7.446808510638298,-3.5531914893617023,-0.07622739018087855
Albany,WY,209600.0,215500,5900.0,Albany,Wyoming,WY,5283,4747,314,412,-190,0.8985424947946242,0.05943592655688056,0.07798599280711717,-0.035964414158622005,0.02814885496183206
Lincoln,NE,113300.0,137400,24100.0,Lincoln,Nebraska,NE,290,1167,310,47,-1234,4.024137931034483,1.0689655172413792,0.16206896551724134,-4.255172413793104,0.21270962047661077
Hale,TX,63400.0,69600,6200.0,Hale,Texas,TX,-503,1340,-446,92,-1489,-2.6640159045725644,0.8866799204771372,-0.18290258449304173,2.960238568588469,0.09779179810725552
Halifax,VA,73900.0,73800,-100.0,Halifax,Virginia,VA,-186,-32,-206,78,-26,0.1720430107526882,1.10752688172043,-0.41935483870967744,0.13978494623655913,-0.0013531799729364006
Scotland,NC,76600.0,70100,-6500.0,Scotland,North Carolina,NC,-656,-1720,-346,124,1286,2.6219512195121952,0.5274390243902439,-0.18902439024390244,-1.9603658536585369,-0.08485639686684072
Perry,OH,82000.0,87900,5900.0,Perry,Ohio,OH,986,816,12,-106,264,0.8275862068965517,0.012170385395537523,-0.1075050709939148,0.26774847870182555,0.07195121951219512
Douglas,MN,164400.0,182600,18200.0,Douglas,Minnesota,MN,940,650,156,-80,214,0.6914893617021277,0.16595744680851066,-0.0851063829787234,0.2276595744680851,0.11070559610705596
Oneida,WI,173400.0,146700,-26700.0,Oneida,Wisconsin,WI,-583,-833,91,215,-56,1.4288164665523155,-0.15608919382504288,-0.3687821612349914,0.09605488850771868,-0.15397923875432526
Lee,IA,67800.0,77800,10000.0,Lee,Iowa,IA,-492,-483,-63,-57,111,0.9817073170731708,0.12804878048780488,0.11585365853658534,-0.22560975609756095,0.14749262536873156
Prince George,VA,208800.0,180300,-28500.0,Prince George,Virginia,VA,1705,462,-320,30,1533,0.2709677419354839,-0.187683284457478,0.01759530791788856,0.8991202346041056,-0.13649425287356323
Jasper,TX,69400.0,97500,28100.0,Jasper,Texas,TX,1244,507,-30,63,704,0.40755627009646295,-0.024115755627009645,0.050643086816720265,0.5659163987138264,0.4048991354466859
Cocke,TN,70000.0,74700,4700.0,Cocke,Tennessee,TN,-80,45,-100,-61,36,-0.5625,1.25,0.7625,-0.45,0.06714285714285714
Wapello,IA,67700.0,69400,1700.0,Wapello,Iowa,IA,-321,-1366,530,16,499,4.255451713395638,-1.6510903426791277,-0.04984423676012461,-1.5545171339563864,0.025110782865583457
Barry,MO,89800.0,108500,18700.0,Barry,Missouri,MO,-383,-565,46,192,-56,1.475195822454308,-0.12010443864229765,-0.5013054830287206,0.1462140992167102,0.20824053452115812
Laclede,MO,112400.0,120300,7900.0,Laclede,Missouri,MO,253,299,-157,-13,124,1.181818181818182,-0.6205533596837944,-0.05138339920948617,0.4901185770750988,0.07028469750889679
Morgan,IL,73900.0,78000,4100.0,Morgan,Illinois,IL,-553,-916,257,-39,145,1.6564195298372513,-0.4647377938517179,0.0705244122965642,-0.26220614828209765,0.05548037889039242
Montgomery,KS,,51300,,Montgomery,Kansas,KS,-625,-546,-279,145,55,0.8736,0.4464,-0.23199999999999998,-0.08800000000000001,
Carlton,MN,135600.0,149400,13800.0,Carlton,Minnesota,MN,1738,1124,220,64,330,0.6467203682393556,0.12658227848101267,0.036823935558112766,0.18987341772151897,0.10176991150442478
